,a,b
0,"[-754.3000475402371, 170.25306302057334, 1752.4333676031279, -154.81739095455202]","[2.573327408613647, -0.5810758363863662, -5.964022039946785, 0.5273568973607783]"
1,"[-1255.5552651947335, -1602.7856217840695, 1340.7611103732506, -24.358290404633845]","[4.291306057225625, 5.489489132655581, -4.567005865487749, 0.08428956504153923]"
2,"[1085.6714972837872, 309.5669410211407, 752.940346312565, -153.10592708380025]","[-3.7364480403891265, -1.0602984624715421, -2.5603266267751668, 0.5197483042908249]"
3,"[-884.2494162640282, -508.23366761044207, 217.24969767021602, -147.52873883662207]","[3.03065837370396, 1.7398949789026106, -0.7379978776679565, 0.4997406847331976]"
4,"[72.65543566135958, -635.4908190269392, 35.361608443569196, -81.07635718284047]","[-0.2534493384030723, 2.1739844445218055, -0.12103964519542304, 0.2746746027870009]"
5,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
6,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
7,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
8,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
9,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
10,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
11,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
12,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
13,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
14,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
15,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
16,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
17,"[-518.3693812700682, 1043.2105750539713, 535.3630851009721, 1290.2450629727384]","[1.7303929088100005, -3.4700139292048178, -1.7730499371146176, -4.265733507607328]"
18,"[-1624.060613668595, 350.7043496874183, 448.2940834818222, 424.90243619292175]","[5.422946922791307, -1.1602751162975629, -1.4843888225333668, -1.3983797818232353]"
19,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
20,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
21,"[-1421.7715832071253, -146.40637238368816, -534.2066076779238, -101.32507940432721]","[4.762712775286586, 0.49226350451934087, 1.782397691900734, 0.3413020985468846]"
22,"[-2321.8856022246223, -147.7398354110079, -996.33392029249, -165.74974371734635]","[7.775429604260912, 0.49565472091900403, 3.3247702191273545, 0.554314623777982]"
23,"[-3167.767557025082, -232.80834686416318, -1493.1754005225416, -99.06314560087819]","[10.615703796631978, 0.7798479539886016, 4.983366177929471, 0.33279249159166174]"
24,"[-2911.834295071061, -941.8104679846308, -621.0594973560759, -36.09433868044631]","[9.761215090849689, 3.152605275194975, 2.0762207940005597, 0.12359465066541825]"
25,"[-4334.2069373954555, -897.090110280636, -360.07892629183715, -157.5774478419669]","[14.532054403193474, 3.004749821562962, 1.2051126777274455, 0.525297356803206]"
26,"[-1757.192467874734, -880.0373736306109, 47.65699201968971, -37.70632438404079]","[5.89450892852341, 2.9468205098375844, -0.16053082303356375, 0.12712098484960746]"
27,"[-2469.681472599247, -28.970827788551833, -1019.4857449212823, 87.70648617801638]","[8.28821210427296, 0.09373902842490366, 3.3948249520570624, -0.28887681605352605]"
28,"[-1673.9787049227448, 131.96769008364504, -1545.5927733773542, 82.97145060011142]","[5.620640685670306, -0.4453931123109736, 5.146054191561105, -0.27309570689769036]"
29,"[-4.278795511832404, -73.97058095374418, -954.9088504278435, -436.2314809555369]","[0.017404773012770387, 0.2437264767886204, 3.1741410695761147, 1.449934080547382]"
30,"[-308.068295876227, 168.86693835126746, -712.7260156264527, 373.11777883003015]","[1.035962739205817, -0.5684456697854307, 2.366614040697811, -1.2381444396479149]"
31,"[-95.68426254144529, 165.88126296235077, -671.3968704135867, 678.7704647467244]","[0.3253976977432188, -0.5588251822465536, 2.232613485024707, -2.2536162729272613]"
32,"[294.6870321468005, -291.3335228600365, -1476.489757272367, 420.88234086495737]","[-0.9819611035980427, 0.9683498595065148, 4.916763679905667, -1.3960529379410958]"
33,"[-263.06241543607274, -466.94219435386515, -480.8618103525718, 1892.4803479828863]","[0.8862170423554555, 1.5555231964244427, 1.5988470759344957, -6.284320832103886]"
34,"[-264.59304555802237, -429.08741232181836, -1078.199591307629, -2720.109161660681]","[0.8914937560776155, 1.4287186800010572, 3.580293034514064, 9.03865559696004]"
35,"[-2588.126033319427, -190.1653780602004, 271.4597153387673, -1.0760066545799878]","[8.663532499754961, 0.6304892361365159, -0.9069485676541865, 0.004321531026742415]"
36,"[841.0141157866428, -504.8478199369407, -274.4318590234191, 417.00238022502765]","[-2.804597555906398, 1.6784284907532103, 0.9092643377680869, -1.3855143427455026]"
37,"[877.6811343316225, -599.3120910741678, -1634.5865578122657, -1382.0795014801035]","[-2.9206931809227896, 1.9918650193094996, 5.437336956729117, 4.595927436499515]"
38,"[971.4004532702272, -1211.6425681943117, -1681.5666776979847, -1667.9398855595844]","[-3.232951035690339, 4.0412632163169135, 5.609159163535664, 5.553781126803831]"
39,"[-2511.0073073954977, -1686.8200225142398, -477.03519695089904, 334.0657470008666]","[8.382597303428344, 5.632401869891819, 1.5935839206008566, -1.1194119308374648]"
40,"[-696.6792469566528, -2334.8055973771466, -1111.828057891065, 249.407733675035]","[2.3330862542995447, 7.7905017528322675, 3.7185829386752496, -0.838834075343003]"
41,"[-1371.5309273210705, -1687.6628743453125, -1011.1056500900609, 884.1163218292199]","[4.582145529223109, 5.635492054544569, 3.383967259469836, -2.9536080427400453]"
42,"[-1651.875722266921, -2535.9388431076322, -493.8252656556469, 1493.0553890243107]","[5.517727896845004, 8.466965915393079, 1.6535908227242757, -4.976812063033652]"
43,"[-317.26597620793626, 1061.8451678674182, 175.33878537601797, 1457.0861024468893]","[1.060061668827747, -3.554550283094449, -0.5800057343411418, -4.845192785869454]"
44,"[-384.2049197650102, -313.6586252265352, -404.86702770443975, 982.2111924951175]","[1.282567366239988, 1.0427806247564333, 1.3494129608473473, -3.26443017484414]"
45,"[-831.5777313803616, 48.27033577958526, -133.8037229452869, 468.7012716613854]","[2.7765825240998114, -0.16721859702091257, 0.441010770440134, -1.5591191080682478]"
46,"[-724.6914942322203, 274.625435687346, 306.21212331618153, 394.51033769838006]","[2.415750733410127, -0.9204532475259409, -1.022709293009795, -1.307765430134519]"
47,"[-496.97852751084866, 506.05603377897955, 170.64184409814357, 508.81262406515805]","[1.6555021313898752, -1.6839948134496354, -0.5700932542555449, -1.6820657833805268]"
48,"[-500.3164875973062, 417.93070558480633, 506.9721547077624, 1220.304347704944]","[1.6673305600188737, -1.3878266716378154, -1.6761481240339924, -4.023127550746266]"
49,"[-701.3366034625046, 358.43146301230746, 388.45634488383814, 946.7841402605872]","[2.3408639260921786, -1.1895960314358742, -1.2861881068506893, -3.127312616241354]"
50,"[-119.28173850921019, 389.0594870236314, -198.7193525881963, 42.65968203111027]","[0.4023275654396722, -1.2867203558237823, 0.6526200591761359, -0.1419160726128853]"
51,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
52,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
53,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
54,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
55,"[129.78206174841011, 171.9873427398479, -32.32586563011527, 1290.512882736813]","[-0.43778723188485646, -0.5770580783178179, 0.10392906888663814, -4.241587549833293]"
56,"[270.2056220356065, -118.22681588628623, 62.12235242515141, 846.8350972077465]","[-0.902513041270688, 0.3913958865821012, -0.20935587328830493, -2.786057945092696]"
57,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
58,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
59,"[-349.2836941861682, 272.9335095141536, 426.7805833235419, 383.50412778325045]","[1.1713755431545194, -0.9121735716203672, -1.426982118994829, -1.2682726674734304]"
60,"[42.46343174740348, -624.622342365866, 655.1927350423782, -1123.27653336247]","[-0.13956854709369804, 2.0924374123146263, -2.1845324669170627, 3.722141437173207]"
61,"[-926.2119315792635, -835.7961208378221, 550.7116454217681, 35.972352962259855]","[3.102716117395145, 2.7929426138023716, -1.8345957644920388, -0.11681726476391008]"
62,"[-1091.3095698946597, 306.3395328310792, 567.7853559235374, -1280.2196683365682]","[3.6477969614209576, -1.0192809757231138, -1.889864619445547, 4.244146564760545]"
63,"[-244.2371943984451, 1006.8782691020963, 1564.0455822117726, 791.3847662150328]","[0.8150594365294841, -3.348585634125068, -5.201676373793174, -2.617189709339025]"
64,"[-1844.87082229629, -2787.155348853373, 546.4109015285977, 769.8118711638464]","[6.148288519135087, 9.28262838195663, -1.8173566890776944, -2.547159605545027]"
65,"[-1110.589304162067, 155.6202796868747, -1864.6239904194185, -236.35831683373976]","[3.7000636960181876, -0.5175135153497648, 6.200520383678404, 0.7857889485372451]"
66,"[276.2938346590757, -1372.978860312588, 124.16882722258262, 54.280216687951]","[-0.9214001754022343, 4.57319009812729, -0.41341665346879947, -0.17598027750959072]"
67,"[270.7205048145864, -1215.2356010648195, -162.5894447059567, 86.39318213640998]","[-0.9022566324111151, 4.04460127025909, 0.5391850492996825, -0.282962257397714]"
68,"[-177.12303667488914, -919.2202277526808, -3553.0263162467704, -15.365476642610101]","[0.5889156165849699, 3.0630127701456455, 11.807546371596311, 0.051711745355226754]"
69,"[-727.2599869289201, -930.8434650312029, -46.594920145733006, -145.6317277882001]","[2.421719714639562, 3.0982516440329935, 0.1556647193668546, 0.4804652680233143]"
70,"[-879.9958970842731, 280.73969516194774, -1218.423226934811, -282.4693333286758]","[2.9320562016852008, -0.9338426438410473, 4.045899280130138, 0.9308463413340431]"
71,"[-1116.006733214096, -413.6014057436014, -1033.5876662646067, 724.7732937796334]","[3.7186704033637166, 1.374378716958236, 3.4355514937838754, -2.4047093561972273]"
72,"[-683.2299650848176, -950.8236817869978, -729.6412863919214, 118.77950405601258]","[2.2773941948299843, 3.159528346318645, 2.4252211718466374, -0.3977096319263709]"
73,"[36.51494353438179, -1062.0303713849553, -897.7576245008581, -244.53041076227493]","[-0.12032598219002098, 3.524968823580019, 2.9845709860762497, 0.8031531601738208]"
74,"[86.77915018152856, 1103.7560634706247, -1319.3003930683917, -813.40797993208]","[-0.2868102437548704, -3.660725446391559, 4.380571760833961, 2.6889509669600202]"
75,"[1225.7980947793792, 497.55205884328666, -2235.043506755334, -928.6651584133466]","[-4.071887051531997, -1.6472332936889362, 7.422168527771113, 3.076077961223261]"
76,"[277.4900127559051, 1683.6672567336861, -1122.773904482279, 89.00293522806828]","[-0.9207289012471545, -5.5800956425528545, 3.7336917006001253, -0.2957916780667888]"
77,"[-1870.6159539643675, 900.1728588655704, -418.8181973778185, 681.923919180768]","[6.222487535269516, -2.9821203713307423, 1.3959907717860214, -2.255337120271426]"
78,"[-1245.516074489412, -1461.3053083203351, -814.1913207468239, 673.7620347116645]","[4.144067689435765, 4.850168354441555, 2.703948481124966, -2.2294652852400705]"
79,"[852.0260840738357, -1635.8728333532256, -398.1187437410224, 156.43776859345425]","[-2.8328633629883724, 5.430968865820483, 1.3249005532172624, -0.5143977667093609]"
80,"[1981.2644622728344, 1155.8768068770494, -258.35311969800057, -266.8437379835]","[-6.583932821592282, -3.831437403563361, 0.8606395141801106, 0.8900478896737536]"
81,"[282.8395626741836, 2171.006311403053, -76.7397631522599, -566.8880607597258]","[-0.9390219209541923, -7.198875062855603, 0.2589748355233213, 1.8849088208170677]"
82,"[-380.66660798982764, 1561.5800547838896, 679.4517172361358, 103.32651138628334]","[1.2654038513490264, -5.17699597336735, -2.2446148359763605, -0.33331032715244685]"
83,"[-424.1209798003308, 1087.5859182066215, 1382.7415414751804, -574.9546279951588]","[1.4103268169545562, -3.605580720947135, -4.575943688909915, 1.9099088223062382]"
84,"[1931.9448943672373, 816.4992088721949, 2086.36310553594, -1805.5130138232]","[-6.425449488149775, -2.7072493603086953, -6.9152504819459635, 5.985162420649413]"
85,"[152.18606036783342, 694.1291299391635, 1970.9723399524942, -26.047722190270882]","[-0.507215370805089, -2.3006544672732696, -6.532736030371569, 0.0883167500717306]"
86,"[-1179.1626549069279, 254.7917659586102, 1640.8795462413784, -135.35762350474548]","[3.9276077913889815, -0.8412045973910792, -5.438012785040677, 0.44916189513740595]"
87,"[881.7380086420358, -202.46641507467533, 920.9026584170182, -1125.0590434862572]","[-2.9426253690405244, 0.6789038728312242, -3.0487279585004217, 3.7321309103378115]"
88,"[-1231.0195002339328, -324.30736817015014, 38.93115565084773, -1027.6291012268937]","[4.103036352370498, 1.084539463037755, -0.11695226970027371, 3.4080626943152263]"
89,"[165.61922905745513, -14.729507311307957, 89.986418896178, 589.838206292465]","[-0.5573629877371568, 0.053678160862962565, -0.28756065615066145, -1.9660745815595535]"
90,"[-2669.1701308302368, -551.2807660788474, -314.4174564151706, -39.955831523454464]","[8.918229345409337, 1.8432533856547597, 1.0575670105055655, 0.12704115053548154]"
