,a,b
0,"[962.5825154544365, 10629.236691523556, -4960.515284375836]","[-3.243399097508767, -35.64656221570143, 16.654541506909155]"
1,"[774.9505197547992, 10559.051554542611, -2945.766858569929]","[-2.6116609312774273, -35.43972876177287, 9.898159397185655]"
2,"[386.12780543872964, 10254.706595510457, -3615.191817450738]","[-1.3029798646068986, -34.44095562460646, 12.151697575878657]"
3,"[-661.2640800456218, 2450.4705607259752, -4033.5442160324305]","[2.228534267935645, -8.246947406367669, 13.562826931808303]"
4,"[-1047.1568971784116, 2198.449794582768, 2471.382629478684]","[3.5143239839247964, -7.420933236674913, -8.297781129807937]"
5,"[nan, nan, nan]","[nan, nan, nan]"
6,"[nan, nan, nan]","[nan, nan, nan]"
7,"[nan, nan, nan]","[nan, nan, nan]"
8,"[nan, nan, nan]","[nan, nan, nan]"
9,"[nan, nan, nan]","[nan, nan, nan]"
10,"[nan, nan, nan]","[nan, nan, nan]"
11,"[nan, nan, nan]","[nan, nan, nan]"
12,"[nan, nan, nan]","[nan, nan, nan]"
13,"[nan, nan, nan]","[nan, nan, nan]"
14,"[nan, nan, nan]","[nan, nan, nan]"
15,"[nan, nan, nan]","[nan, nan, nan]"
16,"[nan, nan, nan]","[nan, nan, nan]"
17,"[-19319.19398270009, 5762.266895720342, 6081.4305181276195]","[64.17901645011092, -19.041429603991503, -20.115675574808645]"
18,"[-21890.835715277342, -896.1114768566423, 7998.360489760617]","[72.6967315012438, 3.0375562938787737, -26.47324612531158]"
19,"[nan, nan, nan]","[nan, nan, nan]"
20,"[nan, nan, nan]","[nan, nan, nan]"
21,"[-1568.6254892333936, 4864.437480569905, -14338.689462745586]","[5.299577961334129, -16.133033960007833, 47.51567814647381]"
22,"[-279.1092841954497, 5602.6999884858715, -9333.044985187847]","[1.025276573532006, -18.611008068986177, 30.89743373295504]"
23,"[-122.62180090660162, 4631.965810228763, 3441.9913912615775]","[0.4922478536169287, -15.417540470997183, -11.381935510189736]"
24,"[-1339.568638437625, 4211.011113848838, 16431.984654733325]","[4.551538667558367, -14.017040347663057, -54.362568786536514]"
25,"[2047.7259632168448, -730.8025017743169, 38097.12750413005]","[-6.643720466175075, 2.363060105077944, -125.90141216355642]"
26,"[3482.6273746854595, -2281.0243865744287, 31353.624858533596]","[-11.383403817620513, 7.544417874185049, -103.6726158392437]"
27,"[7604.945075188022, -2098.196230016898, 17801.34661376178]","[-25.043948024586964, 6.992092485300797, -58.85344075799126]"
28,"[14269.241169171579, 20546.080563204217, 18366.2524735164]","[-47.14832798318725, -68.10508620319503, -60.7700778131932]"
29,"[5777.469851531497, 26974.925568545874, 11478.91002500962]","[-19.07892855558243, -89.4334399159058, -37.933889456699475]"
