,a,b
0,"[-1368.9334637292259, -1181.4252445009326, -5412.52425671449]","[4.603246950959885, 3.9680251889833476, 18.15827662169902]"
1,"[-989.3277394530262, -2587.2426647443544, 813.2904230567692]","[3.3309381378484737, 8.692948935060269, -2.726758843341822]"
2,"[-599.7973324999538, -2080.0878840391442, 1719.1912027916937]","[2.0237647885791086, 6.995099074234479, -5.771187372592622]"
3,"[-307.10256156918626, -195.85730997025678, -457.62133203829336]","[1.040277901296648, 0.6684398846155141, 1.5420588144966014]"
4,"[-36.10233828929909, 59.87222180599362, -2270.6939414582416]","[0.126111727027836, -0.19006899764047377, 7.621895493734229]"
5,"[nan, nan, nan]","[nan, nan, nan]"
6,"[nan, nan, nan]","[nan, nan, nan]"
7,"[nan, nan, nan]","[nan, nan, nan]"
8,"[nan, nan, nan]","[nan, nan, nan]"
9,"[nan, nan, nan]","[nan, nan, nan]"
10,"[nan, nan, nan]","[nan, nan, nan]"
11,"[nan, nan, nan]","[nan, nan, nan]"
12,"[nan, nan, nan]","[nan, nan, nan]"
13,"[nan, nan, nan]","[nan, nan, nan]"
14,"[nan, nan, nan]","[nan, nan, nan]"
15,"[nan, nan, nan]","[nan, nan, nan]"
16,"[nan, nan, nan]","[nan, nan, nan]"
17,"[4793.200372307729, 752.9191240543986, 1462.524370291457]","[-15.900519557927954, -2.5062074200674362, -4.82892705825566]"
18,"[2051.199416079893, 2177.9828338351845, 579.6731059436305]","[-6.8048830150531625, -7.220852099641471, -1.9084832453636085]"
19,"[nan, nan, nan]","[nan, nan, nan]"
20,"[nan, nan, nan]","[nan, nan, nan]"
21,"[674.2345158525402, 1322.361034248621, 3236.4069816055903]","[-2.244625763997205, -4.373975732225697, -10.709631215241407]"
22,"[316.652667196697, 1540.2240739359904, 3760.642209234336]","[-1.0596854466064045, -5.097240215889208, -12.439266376584545]"
23,"[37.43658304815207, 1983.1759154169656, 4358.083423448069]","[-0.13247847591568793, -6.565530798101538, -14.41148866782626]"
24,"[-642.3960143705763, 2198.8445563991904, 2051.3207783841535]","[2.121858687486152, -7.278552800192765, -6.784902607638333]"
25,"[-1139.2707230863778, 2738.746043860987, -1144.6132225256233]","[3.7695017064381986, -9.083684088945567, 3.787390541146153]"
26,"[-454.62624562820525, 2240.8395816367656, -620.1752084597397]","[1.5016796626898943, -7.431199732556287, 2.0543828566704665]"
27,"[-916.9110131666488, 4258.885460152748, -733.3479603573592]","[3.0319483856712157, -14.125839776977157, 2.4260133286035708]"
28,"[-972.9527913832914, 2175.923788729278, -1162.532444447338]","[3.2172871179558946, -7.223381734786242, 3.845162902465321]"
29,"[-540.3113953430071, 1966.4731101491973, -1431.0412674318723]","[1.7868237130906663, -6.53061915557894, 4.7288892310772805]"
30,"[-817.0257206474585, 4043.889558059543, -751.7992216430671]","[2.7031890931352063, -13.428652128643735, 2.4865983465669514]"
31,"[-180.74703738565992, 2262.8572165913497, -678.3559305276527]","[0.5951672701149122, -7.511835614619501, 2.2442172693164184]"
32,"[-191.64324832923865, 1237.5082768503942, -734.2218714382471]","[0.6307768701572678, -4.11933124537133, 2.425888019567781]"
33,"[1958.9227250554263, 1091.6551282745634, -495.43279659391897]","[-6.500305953685635, -3.6277069784096505, 1.6366738104893683]"
34,"[-751.4506740142937, 315.32071669145313, -1098.5762946374787]","[2.485765812501051, -1.05084922991713, 3.635704192882215]"
35,"[845.1335548855128, 810.2307152350954, 54.20612154009974]","[-2.8055988286256293, -2.684706798986479, -0.1795713264637506]"
36,"[-1513.4076597253754, 267.4734859046497, 1606.2044091125042]","[5.019443308876096, -0.8770658005398383, -5.320790144471559]"
37,"[-1893.9491201350238, 722.2024045842026, 591.7941950148225]","[6.289924289081358, -2.3856613665191366, -1.958827046808765]"
38,"[-2374.5062236703648, 1491.4770357313619, 3122.372236032703]","[7.890786752234925, -4.935987802695765, -10.36229855628129]"
39,"[-1414.4319421541115, -491.4917217195301, -2323.4763898292395]","[4.694939564648, 1.6372779253221437, 7.711786643467679]"
40,"[-4167.84531682429, -1567.0716272441678, 3572.0539949654517]","[13.858638449678683, 5.205940214611715, -11.830477042902093]"
41,"[-2487.3315628282176, -824.7875637983399, 3123.496936583848]","[8.258321675251993, 2.7422897933162873, -10.329152232604088]"
42,"[-2176.637106398209, -1924.3559776188317, 4741.332458308936]","[7.210370746185505, 6.380935297446367, -15.687059148470647]"
43,"[4643.815934306147, 2302.0509871215595, 1758.1741623017824]","[-15.423402741178384, -7.6348566628660794, -5.812381362797156]"
44,"[-1168.8137618334042, 4297.033087872731, 1109.533214481394]","[3.882137359851476, -14.22407650167537, -3.664701036992966]"
45,"[-462.00497145979296, 5061.843407637835, -1089.0676557506338]","[1.5248060625061313, -16.726867616860023, 3.593652926389527]"
46,"[-628.2236117537822, 4226.426675969974, -1555.9815293982522]","[2.072166347243711, -13.957353834730544, 5.130350271535855]"
47,"[-809.3322233794746, 3125.665961077825, -495.2095497783104]","[2.665022607624546, -10.306917294693035, 1.6309026656743346]"
48,"[-708.0376119804067, 1682.954977395878, -1055.3821605585345]","[2.3268221315715945, -5.5503941694016135, 3.474050709542554]"
49,"[-248.77270405819957, -510.95565821288864, -2000.239353485605]","[0.8107342259786718, 1.677777227053513, 6.5964839108728865]"
